%hello all
@RELATION disease
@ATTRIBUTE R amplitudeNUMERIC
@ATTRIBUTE Q amplitude NUMERIC
@ATTRIBUTE P detection ratioNUMERIC 
@ATTRIBUTE S or QS detection ratio NUMERIC 
@ATTRIBUTE T detection ratio NUMERIC
@ATTRIBUTE disease {}
@DATA 
0.951664,0.793053,0.129772,0.374116,0.648453,not
0.853496,0.634355,0.299877,0.312014,0.647783,not
0.96075,0.901627,0.487765,0.333229,0.654095,not
0.9585,0.867214,0.502071,0.317593,0.639645,not
0.951417,0.891009,0.634278,0.327222,0.610473,not
0.955667,0.894989,0.485418,0.332354,0.647657,not
0.952167,0.936557,0.546325,0.327432,0.651341,not
0.96075,0.93025,0.56425,0.326667,0.650614,not
0.946333,0.914789,0.615117,0.324778,0.66523,not
0.957167,0.940944,0.697596,0.32113,0.678374,not
0.954917,0.954917,0.675027,0.336523,0.672619,not
0.95125,0.902047,0.524828,0.331868,0.634786,not
0.962833,0.929632,0.614221,0.332443,0.715897,not
0.952333,0.90391,0.597226,0.32291,0.690523,not
0.949333,0.916598,0.589241,0.321983,0.725348,not
0.965,0.931724,0.632241,0.330489,0.685968,not
0.960333,0.877546,0.629184,0.337816,0.705989,not
0.952333,0.903075,0.476167,0.321236,0.679864,not
0.949833,0.899842,0.516576,0.33652,0.704578,not
0.955913,0.908901,0.45445,0.344344,0.680799,not
0.961083,0.894802,0.563394,0.368247,0.735837,not
0.951667,0.918275,0.601053,0.338918,0.686249,not
0.95775,0.940947,0.588092,0.352632,0.727691,not
0.966167,0.91704,0.474895,0.37291,0.746136,not
0.969333,0.919195,0.384391,0.353736,0.759427,not
0.95525,0.888215,0.536281,0.350789,0.719212,not
0.947333,0.821022,0.394722,0.352175,0.737044,not
0.9735,0.886321,0.0581194,0.394428,0.730424,not
0.962083,0.748287,0.13744,0.394497,0.789952,not
0.960083,0.883886,0.396225,0.387593,0.744531,not
0.96,0.88381,0.228571,0.331556,0.807989,not
0.960333,0.884116,0.228651,0.375355,0.729037,not
0.95875,0.86125,0.43875,0.392953,0.745484,not
0.911813,0.820632,0.312622,0.29209,0.720516,not
0.955261,0.856013,0.496239,0.247554,0.655322,not
0.884306,0.838957,0.362792,0.209342,0.816776,not
0.866008,0.717875,0.262081,0.217613,0.993295,not
0.96775,0.927979,0.225366,0.277593,1,not
0.921759,0.822109,0.311405,0.248174,1,not
0.833576,0.711318,0.288973,0.235778,1,not
0.926438,0.91339,0.24792,0.289014,1,not
0.912727,0.845615,0.429519,0.247736,0.965677,not
0.947958,0.947958,0.392725,0.245857,0.971669,not
0.96,0.946479,0.500282,0.24223,0.859903,not
0.93615,0.908616,0.261571,0.270784,1,not
0.966667,0.868599,0.448309,0.37699,1,not
0.851887,0.73519,0.256733,0.301806,1,not
0.90741,0.853236,0.230238,0.374677,1,not
0.942384,0.911984,0.197597,0.430328,1,not
0.95725,0.94181,0.494065,0.36123,1,not
0.922573,0.892813,0.282724,0.280887,1,not
0.955667,0.955667,0.461906,0.386954,1,not
0.953917,0.922119,0.46106,0.36,0.904875,not
0.963833,0.963833,0.600421,0.417978,0.771246,not
